SEMANA,SUBTITULO,RUTA,CLASE,LINK_YOUTUBE (pegar aca)
S1,El punto de partida,biocuantico,Flujo Biocuantico - S1,
S1,El punto de partida,mindfulness,Mindfulness - S1,
S1,El punto de partida,neurociencias,Neurociencias - S1,
S1,El punto de partida,comunicacion,Ruta 1 - Comunicacion con Diseno Ontologico,
S2,Los primeros cimientos,biohacking,Biohacking,
S2,Los primeros cimientos,biocuantico,Flujo Biocuantico,
S2,Los primeros cimientos,mindfulness,Mindfulness,
S3,Centramiento,biohacking,Biohacking - Centramiento,
S3,Centramiento,biocuantico,Flujo Biocuantico - Soltando patrones,
S3,Centramiento,mindfulness,Mindfulness - Pensar en blanco,
S3,Centramiento,neurociencias,Neurociencias - Experimenta el cambio,
S3,Centramiento,comunicacion,Ruta 2 - Comunicacion con Diseno Ontologico,
S4,Percepcion,biohacking,Biohacking - Percepcion,
S4,Percepcion,biocuantico,Flujo Biocuantico - Ve mas alla de tus habitos,
S4,Percepcion,mindfulness,Mindfulness - Estar presente,
S5,Apertura,biohacking,Biohacking - Apertura,
S5,Apertura,biocuantico,Flujo Biocuantico - Conecta con la energia universal,
S5,Apertura,mindfulness,Mindfulness - Atencion plena,
S5,Apertura,neurociencias,Neurociencias,
S5,Apertura,comunicacion,Ruta 3 - Comunicacion con Diseno Ontologico,
S6,Estabilidad,biohacking,Biohacking - Estabilidad,
S6,Estabilidad,biocuantico,Flujo Biocuantico - Fortalece la energia vital,
S6,Estabilidad,mindfulness,Mindfulness - Menos es mas,
S7,Flexibilidad y determinacion,biohacking,Biohacking - Flexibilidad,
S7,Flexibilidad y determinacion,biocuantico,Flujo Biocuantico - Calibra tu cuerpo y manifiesta tus suenos,
S7,Flexibilidad y determinacion,mindfulness,Mindfulness - Determinacion,
S7,Flexibilidad y determinacion,neurociencias,Neurociencias - Cultiva bienestar,
S7,Flexibilidad y determinacion,comunicacion,Ruta 4 - Comunicacion con Diseno Ontologico,
S8,Impermeabilidad,biohacking,Biohacking - Impermeabilidad,
S8,Impermeabilidad,biocuantico,Flujo Biocuantico - Impermeabilidad,
S8,Impermeabilidad,mindfulness,Mindfulness - Impermeabilidad,
S9,Convierte tus suenos en propositos,biohacking,Biohacking - Proposito,
S9,Convierte tus suenos en propositos,biocuantico,Flujo Biocuantico - Proposito,
S9,Convierte tus suenos en propositos,neurociencias,Neurociencias - Convierte tus suenos en propositos de realidad,
S9,Convierte tus suenos en propositos,mindfulness,Mindfulness - Proposito,
S9,Convierte tus suenos en propositos,comunicacion,Ruta 5 - Comunicacion con Diseno Ontologico,
S10,Creatividad y energia,biohacking,Biohacking - Creatividad y Energia,
S10,Creatividad y energia,biocuantico,Flujo Biocuantico - Creatividad y Energia,
S10,Creatividad y energia,mindfulness,Mindfulness - Creatividad y Energia,
S11,Manifiesta abundancia,biohacking,Biohacking - Manifiesta abundancia,
S11,Manifiesta abundancia,biocuantico,Flujo Biocuantico - Manifiesta abundancia,
S11,Manifiesta abundancia,mindfulness,Mindfulness - Manifiesta abundancia,
S11,Manifiesta abundancia,neurociencias,Neurociencias - Manifiesta abundancia en tu vida,
S11,Manifiesta abundancia,comunicacion,Ruta 6 - Comunicacion con Diseno Ontologico,
S12,Proposito,biocuantico,Flujo Biocuantico - Integracion de la energia universal en tu proposito vital,
S12,Proposito,mindfulness,Mindfulness - Proposito,
